timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
1424157564860,93,Get User Home List,200,cosa1 - CI 1-1,true,551,1,1,93,1,0,CI,0
1424157566963,1912,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,1912,1,0,CI,0
1424157570878,93,Get Fetch Info - Clean Case 19,200,cosa1 - CI 1-1,true,540,1,1,93,1,0,CI,0
1424157572985,657,Create Root Folder,200,cosa1 - CI 1-1,true,544,1,1,657,1,0,CI,0
1424157575646,587,Share Share Root Folder,200,cosa1 - CI 1-1,true,394,1,1,586,1,0,CI,0
1424157578236,83,Get Share list,200,cosa1 - CI 1-1,true,670,1,1,83,1,0,CI,0
1424157580322,525,Agree Share Root File,200,cosa1 - CI 1-1,true,529,1,1,525,1,0,CI,0
1424157582850,549,Create Sub Folder - Owner,200,cosa1 - CI 1-1,true,548,1,1,549,1,0,CI,0
1424157585402,521,Create Sub Folder - NonOwner,200,cosa1 - CI 1-1,true,545,1,1,521,1,0,CI,0
1424157587927,92,Get Fetch Info - Owner - Case 20,200,cosa1 - CI 1-1,true,671,1,1,92,1,0,CI,0
1424157590032,160,Get Fetch Info - NonOwner - Case 20,200,cosa1 - CI 1-1,true,677,1,1,160,1,0,CI,0
1424157592211,64,Get User Home List,200,cosa1 - CI 1-1,true,559,1,1,63,1,0,CI,0
1424157594285,1974,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,1974,1,0,CI,0
1424157598262,83,Get Fetch Info - Clean Case 20,200,cosa1 - CI 1-1,true,540,1,1,83,1,0,CI,0
1424157600359,502,Create Root Folder,200,cosa1 - CI 1-1,true,538,1,1,502,1,0,CI,0
1424157602864,498,Create Share Folder,200,cosa1 - CI 1-1,true,548,1,1,498,1,0,CI,0
1424157605366,516,Share Share Share Folder,200,cosa1 - CI 1-1,true,394,1,1,516,1,0,CI,0
1424157607886,88,Get Share list,200,cosa1 - CI 1-1,true,667,1,1,88,1,0,CI,0
1424157609978,556,Agree Share Root File,200,cosa1 - CI 1-1,true,529,1,1,556,1,0,CI,0
1424157612538,539,Create Sub Folder - Owner,200,cosa1 - CI 1-1,true,552,1,1,539,1,0,CI,0
1424157615080,542,Create Sub Folder - NonOwner,200,cosa1 - CI 1-1,true,550,1,1,541,1,0,CI,0
1424157617626,95,Get Fetch Info - Owner - Case 21,200,cosa1 - CI 1-1,true,711,1,1,95,1,0,CI,0
1424157619737,172,Get Fetch Info - NonOwner - Case 21,200,cosa1 - CI 1-1,true,673,1,1,171,1,0,CI,0
1424157621923,74,Get User Home List,200,cosa1 - CI 1-1,true,551,1,1,74,1,0,CI,0
1424157624008,2780,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,2780,1,0,CI,0
1424157628792,81,Get Fetch Info - Clean Case 21,200,cosa1 - CI 1-1,true,540,1,1,81,1,0,CI,0
1424157630887,569,Create Share Folder,200,cosa1 - CI 1-1,true,539,1,1,569,1,0,CI,0
1424157633459,482,Share Share Share Folder,200,cosa1 - CI 1-1,true,394,1,1,482,1,0,CI,0
1424157635944,80,Get Share list,200,cosa1 - CI 1-1,true,667,1,1,80,1,0,CI,0
1424157638028,565,Agree Share Root File,200,cosa1 - CI 1-1,true,530,1,1,565,1,0,CI,0
1424157640596,420,update LMT,200,cosa1 - CI 1-1,true,421,1,1,420,1,0,CI,0
1424157643020,912,Upload File to Share Folder - Owner,200,cosa1 - CI 1-1,true,655,1,1,912,1,0,CI,0
1424157645936,880,Upload File to Share Folder - NonOwner,200,cosa1 - CI 1-1,true,661,1,1,880,1,0,CI,0
1424157648821,694,update LMT,200,cosa1 - CI 1-1,true,421,1,1,694,1,0,CI,0
1424157651518,92,Get Fetch Info - Owner - Case 22,200,cosa1 - CI 1-1,true,594,1,1,92,1,0,CI,0
1424157653625,129,Get Fetch Info - NonOwner - Case 22,200,cosa1 - CI 1-1,true,594,1,1,129,1,0,CI,0
1424157655766,78,Get User Home List,200,cosa1 - CI 1-1,true,554,1,1,78,1,0,CI,0
1424157657856,2850,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,2850,1,0,CI,0
1424157662708,86,Get Fetch Info - Clean Case 22,200,cosa1 - CI 1-1,true,540,1,1,86,1,0,CI,0
1424157664809,989,Create Root Folder,200,cosa1 - CI 1-1,true,536,1,1,988,1,0,CI,0
1424157667802,486,Create Share Folder,200,cosa1 - CI 1-1,true,548,1,1,486,1,0,CI,0
1424157670291,550,Share Share Share Folder,200,cosa1 - CI 1-1,true,394,1,1,550,1,0,CI,0
1424157672845,83,Get Share list,200,cosa1 - CI 1-1,true,662,1,1,83,1,0,CI,0
1424157674932,1008,Agree Share Folder,200,cosa1 - CI 1-1,true,529,1,1,1008,1,0,CI,0
1424157677945,470,update LMT,200,cosa1 - CI 1-1,true,421,1,1,470,1,0,CI,0
1424157680418,910,Upload File to Share Folder - Owner,200,cosa1 - CI 1-1,true,665,1,1,910,1,0,CI,0
1424157683347,1575,Upload File to Share Folder - NonOwner,200,cosa1 - CI 1-1,true,671,1,1,1575,1,0,CI,0
1424157686926,459,update LMT,200,cosa1 - CI 1-1,true,421,1,1,459,1,0,CI,0
1424157689388,84,Get Fetch Info - Owner - Case 23,200,cosa1 - CI 1-1,true,642,1,1,84,1,0,CI,0
1424157691487,158,Get Fetch Info - NonOwner - Case 23,200,cosa1 - CI 1-1,true,594,1,1,158,1,0,CI,0
1424157693658,82,Get User Home List,200,cosa1 - CI 1-1,true,550,1,1,82,1,0,CI,0
1424157695752,2172,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,2172,1,0,CI,0
1424157699927,61,Get Fetch Info - Clean Case 23,200,cosa1 - CI 1-1,true,540,1,1,61,1,0,CI,0
1424157702000,559,Create Share Folder,200,cosa1 - CI 1-1,true,538,1,1,559,1,0,CI,0
1424157704563,556,Share Share Share Folder,200,cosa1 - CI 1-1,true,394,1,1,556,1,0,CI,0
1424157707124,79,Get Share list,200,cosa1 - CI 1-1,true,667,1,1,79,1,0,CI,0
1424157709207,479,Agree Share Root File,200,cosa1 - CI 1-1,true,529,1,1,479,1,0,CI,0
1424157711689,1925,Rename Share Folder,200,cosa1 - CI 1-1,true,517,1,1,1925,1,0,CI,0
1424157715617,87,Get Fetch Info - Owner - Case 24,200,cosa1 - CI 1-1,true,593,1,1,87,1,0,CI,0
1424157717718,155,Get Fetch Info - NonOwner - Case 24,200,cosa1 - CI 1-1,true,599,1,1,155,1,0,CI,0
1424157719901,77,Get User Home List,200,cosa1 - CI 1-1,true,555,1,1,77,1,0,CI,0
1424157721989,2410,Delete User Home List,200,cosa1 - CI 1-1,true,394,1,1,2410,1,0,CI,0
1424157726401,78,Get Fetch Info - Clean Case 24,200,cosa1 - CI 1-1,true,540,1,1,77,1,0,CI,0
1424157728492,585,Create Share Folder,200,cosa1 - CI 1-1,true,541,1,1,585,1,0,CI,0
1424157731081,587,Share Share Share Folder,200,cosa1 - CI 1-1,true,394,1,1,587,1,0,CI,0
1424157733671,72,Get Share list,200,cosa1 - CI 1-1,true,667,1,1,72,1,0,CI,0
1424157735746,615,Agree Share Root File,200,cosa1 - CI 1-1,true,530,1,1,615,1,0,CI,0
1424157738365,569,Create Sub Folder - Owner,200,cosa1 - CI 1-1,true,548,1,1,569,1,0,CI,0
1424157740937,533,Create Sub Folder - NonOwner,200,cosa1 - CI 1-1,true,541,1,1,533,1,0,CI,0
1424157743473,731,Rename Share Folder,200,cosa1 - CI 1-1,true,515,1,1,730,1,0,CI,0
